ZIP,ZIP_TYPE,ZCTA
27006,Zip Code Area,27006
27007,Zip Code Area,27007
27009,Zip Code Area,27009
27010,Post Office or large volume customer,27106
27011,Zip Code Area,27011
27012,Zip Code Area,27012
27013,Zip Code Area,27013
27014,Post Office or large volume customer,27014
27016,Zip Code Area,27016
27017,Zip Code Area,27017
27018,Zip Code Area,27018
27019,Zip Code Area,27019
27020,Zip Code Area,27020
27021,Zip Code Area,27021
27022,Zip Code Area,27022
27023,Zip Code Area,27023
27024,Zip Code Area,27024
27025,Zip Code Area,27025
27027,Zip Code Area,27027
27028,Zip Code Area,27028
27030,Zip Code Area,27030
27031,Post Office or large volume customer,27030
27040,Zip Code Area,27040
27041,Zip Code Area,27041
27042,Zip Code Area,27042
27043,Zip Code Area,27043
27045,Zip Code Area,27045
27046,Zip Code Area,27046
27047,Zip Code Area,27047
27048,Zip Code Area,27048
27049,Post Office or large volume customer,27030
27050,Zip Code Area,27050
27051,Zip Code Area,27051
27052,Zip Code Area,27052
27053,Zip Code Area,27053
27054,Zip Code Area,27054
27055,Zip Code Area,27055
27094,Post Office or large volume customer,27045
27098,Post Office or large volume customer,27045
27099,Post Office or large volume customer,27045
27101,Zip Code Area,27101
27102,Post Office or large volume customer,27105
27103,Zip Code Area,27103
27104,Zip Code Area,27104
27105,Zip Code Area,27105
27106,Zip Code Area,27106
27107,Zip Code Area,27107
27108,Post Office or large volume customer,27101
27109,Post Office or large volume customer,27109
27110,Zip Code Area,27110
27111,Post Office or large volume customer,27101
27113,Post Office or large volume customer,27101
27114,Post Office or large volume customer,27103
27115,Post Office or large volume customer,27105
27116,Post Office or large volume customer,27106
27117,Post Office or large volume customer,27107
27120,Post Office or large volume customer,27101
27127,Zip Code Area,27127
27130,Post Office or large volume customer,27103
27150,Post Office or large volume customer,27101
27152,Post Office or large volume customer,27101
27155,Post Office or large volume customer,27101
27157,Post Office or large volume customer,27103
27198,Post Office or large volume customer,27105
27199,Post Office or large volume customer,27105
27201,Post Office or large volume customer,27201
27202,Post Office or large volume customer,27244
27203,Zip Code Area,27203
27204,Post Office or large volume customer,27203
27205,Zip Code Area,27205
27207,Zip Code Area,27207
27208,Zip Code Area,27208
27209,Zip Code Area,27209
27212,Zip Code Area,27212
27213,Post Office or large volume customer,27344
27214,Zip Code Area,27214
27215,Zip Code Area,27215
27216,Post Office or large volume customer,27215
27217,Zip Code Area,27217
27228,Post Office or large volume customer,27312
27229,Zip Code Area,27229
27230,Post Office or large volume customer,27248
27231,Zip Code Area,27231
27233,Zip Code Area,27233
27235,Zip Code Area,27235
27237,Post Office or large volume customer,27330
27239,Zip Code Area,27239
27242,Zip Code Area,27242
27243,Zip Code Area,27243
27244,Zip Code Area,27244
27247,Post Office or large volume customer,27356
27248,Zip Code Area,27248
27249,Zip Code Area,27249
27252,Zip Code Area,27252
27253,Zip Code Area,27253
27256,Post Office or large volume customer,27252
27258,Zip Code Area,27258
27259,Post Office or large volume customer,27325
27260,Zip Code Area,27260
27261,Post Office or large volume customer,27260
27262,Zip Code Area,27262
27263,Zip Code Area,27263
27264,Post Office or large volume customer,27263
27265,Zip Code Area,27265
27268,Post Office or large volume customer,27260
27278,Zip Code Area,27278
27281,Zip Code Area,27281
27282,Zip Code Area,27282
27283,Zip Code Area,27283
27284,Zip Code Area,27284
27285,Post Office or large volume customer,27284
27288,Zip Code Area,27288
27289,Post Office or large volume customer,27288
27291,Zip Code Area,27291
27292,Zip Code Area,27292
27293,Post Office or large volume customer,27292
27294,Post Office or large volume customer,27292
27295,Zip Code Area,27295
27298,Zip Code Area,27298
27299,Zip Code Area,27299
27301,Zip Code Area,27301
27302,Zip Code Area,27302
27305,Zip Code Area,27305
27306,Zip Code Area,27306
27310,Zip Code Area,27310
27311,Zip Code Area,27311
27312,Zip Code Area,27312
27313,Zip Code Area,27313
27314,Zip Code Area,27314
27315,Zip Code Area,27315
27316,Zip Code Area,27316
27317,Zip Code Area,27317
27320,Zip Code Area,27320
27323,Post Office or large volume customer,27320
27325,Zip Code Area,27325
27326,Zip Code Area,27326
27330,Zip Code Area,27330
27331,Post Office or large volume customer,27330
27332,Zip Code Area,27332
27340,Post Office or large volume customer,27340
27341,Zip Code Area,27341
27342,Post Office or large volume customer,27249
27343,Zip Code Area,27343
27344,Zip Code Area,27344
27349,Zip Code Area,27349
