Subgroup,Outcome,Model,Type,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7
Age,GDM,GLM,matRRfit,0.772871562,1.053531408,0.973099477,1.054597039,1.014659811,1.004055241,0.868655526,1.008881402
Age,GDM,GLM,matRRlow,0.692156632,0.934659946,0.866588038,0.942222844,0.907115891,0.895054424,0.76938076,0.907144739
Age,GDM,GLM,matRRhigh,0.862998958,1.187521122,1.092702128,1.180373542,1.134953696,1.12633031,0.980739917,1.122027875
Age,PTB,GLM,matRRfit,1.048222615,0.963609703,0.995824219,0.933778178,1.087976303,0.902591269,1.079485673,1.03480171
Age,PTB,GLM,matRRlow,0.937713059,0.848452627,0.88165068,0.82869284,0.967376686,0.799608859,0.952702115,0.927307394
Age,PTB,GLM,matRRhigh,1.171755731,1.094396587,1.124783203,1.052189236,1.22361067,1.018836886,1.223141316,1.154756865
Age,HDP,GLM,matRRfit,0.927405569,1.121266268,0.816881813,1.066091626,0.988187908,1.063857106,1.007553402,0.950334846
Age,HDP,GLM,matRRlow,0.827324117,0.986670395,0.72056332,0.945805359,0.876901958,0.941923445,0.887805635,0.849281832
Age,HDP,GLM,matRRhigh,1.039593881,1.274222931,0.926075305,1.201675739,1.113596944,1.201575296,1.143452821,1.063411797
Age,SMI,GLM,matRRfit,0.766255637,3.482968874,0.553521756,0.576616052,2.259247529,0.949129658,0.236284482,3.059418998
Age,SMI,GLM,matRRlow,0.631720396,2.839680936,0.437864308,0.452309917,1.823719256,0.751935124,0.179442804,2.527521002
Age,SMI,GLM,matRRhigh,0.929442369,4.27198423,0.699728953,0.735084636,2.798785712,1.19803834,0.311131765,3.703250971
Age,PMAD,GLM,matRRfit,1.007402483,1.040691572,1.035123208,0.785606325,1.224590716,0.8115613,1.050741416,1.001854808
Age,PMAD,GLM,matRRlow,0.876338332,0.887980413,0.887758151,0.674217907,1.056279702,0.694409724,0.895183781,0.870143116
Age,PMAD,GLM,matRRhigh,1.158068439,1.219665358,1.2069504,0.915397368,1.41972095,0.948477132,1.23333057,1.153503416
Age,MDP,GLM,matRRfit,0.93997725,1.101250576,1.058983336,0.787137346,1.322026697,0.809632447,1.013058876,1.014796562
Age,MDP,GLM,matRRlow,0.832388743,0.960771276,0.927755113,0.690004692,1.164573739,0.707669754,0.881153772,0.897844368
Age,MDP,GLM,matRRhigh,1.061471862,1.262270076,1.208773406,0.897943461,1.500767644,0.926286161,1.164709632,1.146982817
Age,SUB,GLM,matRRfit,0.707128764,1.227331023,1.087144682,0.889973117,1.02504792,0.916036459,1.05240392,1.110435274
Age,SUB,GLM,matRRlow,0.607632985,1.044552889,0.927925596,0.760465886,0.878267507,0.781134234,0.893740223,0.96373588
Age,SUB,GLM,matRRhigh,0.822916303,1.442092071,1.27368354,1.041535412,1.196359002,1.074236357,1.239234827,1.279465176
Age,SMM,GLM,matRRfit,1.406711141,0.706967723,0.888837162,1.218707634,1.294846429,0.745686626,1.214959032,1.219668672
Age,SMM,GLM,matRRlow,1.184759854,0.57670421,0.737335374,1.017557911,1.082800176,0.618596841,1.002474907,1.033193893
Age,SMM,GLM,matRRhigh,1.670242478,0.866654608,1.071468327,1.459620412,1.548417991,0.898886815,1.472481195,1.43979913
Black,GDM,GLM,matRRfit,1.013781364,1.017971478,1.083331921,0.920606392,0.991261914,0.993304056,0.936217251,1.081296296
Black,GDM,GLM,matRRlow,0.915080672,0.906122314,0.969033257,0.824097381,0.88813702,0.888077209,0.832923608,0.976773495
Black,GDM,GLM,matRRhigh,1.123127923,1.143626985,1.211112252,1.028417453,1.106361024,1.110999064,1.052320684,1.197003895
Black,PTB,GLM,matRRfit,1.013256112,1.055436761,1.034896455,0.890850035,0.988828349,1.024598,0.98758649,1.056443906
Black,PTB,GLM,matRRlow,0.936010145,0.964755204,0.949043562,0.81740393,0.907978536,0.939613433,0.902710604,0.976798629
Black,PTB,GLM,matRRhigh,1.096876944,1.154641874,1.128515819,0.970895485,1.076877332,1.117269108,1.080442694,1.142583223
Black,HDP,GLM,matRRfit,1.091187614,1.023460148,0.995307793,0.969489192,1.051586175,0.897955087,1.01895297,0.994162152
