zip,denom,year
27858,17966,2018
27858,17812,2019
27610,17735,2019
27610,17707,2018
27610,17624,2016
27610,17367,2017
27858,17295,2016
27858,17262,2017
27858,17138,2020
28269,16994,2016
27610,16832,2020
27858,16528,2021
28269,16491,2020
28269,16253,2018
28269,16191,2017
28269,16155,2019
28269,15915,2021
27610,15832,2021
28027,14218,2021
28262,13914,2020
28205,13868,2021
28314,13819,2020
28314,13814,2019
27834,13708,2020
28262,13687,2017
28314,13545,2018
27834,13393,2019
27834,13356,2017
28314,13346,2021
28205,13252,2020
27606,13249,2020
28403,13229,2020
28262,13212,2016
28277,13212,2017
27834,13201,2016
28314,13193,2017
27834,13080,2021
27713,13060,2016
27834,13035,2018
27606,13023,2019
27713,12995,2019
28262,12991,2019
28314,12979,2016
28277,12972,2018
28277,12914,2016
27406,12910,2018
27713,12876,2020
27713,12862,2018
27616,12844,2020
28027,12839,2019
28262,12793,2018
28403,12769,2018
27713,12765,2017
27616,12760,2019
28403,12739,2019
28215,12734,2020
27703,12704,2021
28027,12678,2020
27606,12673,2018
28277,12621,2019
27705,12617,2020
28215,12570,2021
28215,12501,2018
28215,12494,2019
28403,12468,2021
27616,12459,2021
27406,12430,2017
27713,12351,2021
27606,12336,2016
28403,12307,2016
28403,12266,2017
27616,12241,2018
27406,12199,2019
28205,12193,2019
27703,12182,2020
27606,12145,2017
27707,12083,2018
27705,12003,2018
27616,11988,2017
28262,11976,2021
27705,11974,2019
27406,11951,2016
28277,11942,2021
28216,11915,2021
27606,11909,2021
28215,11909,2017
27587,11907,2021
27707,11888,2021
27707,11803,2019
27705,11790,2017
27603,11745,2021
27705,11730,2016
27407,11727,2020
28205,11717,2018
27707,11693,2020
28027,11662,2018
27703,11631,2019
27707,11626,2017
28027,11621,2017
27587,11611,2020
27616,11579,2016
28215,11569,2016
27707,11568,2016
27407,11547,2021
27603,11539,2020
27406,11520,2020
28546,11490,2021
28216,11463,2016
28027,11448,2016
27604,11438,2020
28216,11434,2020
27407,11417,2019
28277,11416,2020
28216,11338,2017
28216,11330,2018
27603,11289,2019
28227,11262,2020
27406,11254,2021
28227,11136,2021
27703,11107,2018
27587,11074,2018
27514,11057,2021
27703,11057,2017
27587,11013,2019
28078,11013,2021
28546,10988,2020
27407,10985,2016
28216,10983,2019
27407,10977,2017
27603,10935,2017
27410,10930,2021
27603,10922,2018
27587,10921,2017
27519,10901,2021
27410,10827,2020
28078,10820,2019
28213,10778,2020
27407,10745,2018
27705,10728,2021
28607,10726,2019
28078,10714,2018
27703,10713,2016
28213,10713,2021
27514,10704,2020
27514,10700,2019
28227,10665,2019
28607,10649,2020
28078,10648,2016
28078,10603,2017
28078,10575,2020
27604,10564,2021
28205,10558,2017
28540,10549,2016
28546,10531,2019
28273,10516,2020
27604,10512,2019
28212,10509,2019
28210,10498,2017
27405,10496,2021
28210,10474,2019
27587,10457,2016
28210,10444,2020
28607,10433,2016
28212,10431,2017
27410,10412,2017
27410,10406,2016
27410,10402,2018
28607,10397,2021
27405,10389,2020
27604,10343,2018
28227,10313,2018
28227,10312,2017
28213,10309,2019
28607,10306,2017
28607,10297,2018
28212,10288,2018
28210,10285,2021
27514,10284,2018
28210,10258,2018
28273,10188,2021
27410,10183,2019
28540,10183,2017
27603,10140,2016
27519,10139,2018
28212,10074,2020
27604,10066,2017
28227,10048,2016
28205,10047,2016
27529,10032,2021
28212,10029,2021
28546,10013,2018
28210,9920,2016
27519,9918,2019
28213,9881,2017
28806,9863,2021
28110,9843,2017
27529,9838,2020
27405,9828,2019
27514,9757,2016
27607,9748,2020
28213,9746,2018
27106,9745,2018
27106,9737,2017
27514,9702,2017
27405,9690,2018
28110,9678,2018
27265,9661,2016
28110,9637,2016
28540,9629,2018
27607,9613,2018
28601,9608,2021
27519,9597,2016
27607,9583,2021
27604,9582,2016
28110,9574,2019
27106,9546,2019
27519,9543,2017
27519,9529,2020
28212,9510,2016
28110,9465,2020
27607,9439,2017
28540,9439,2021
28546,9426,2017
28806,9413,2019
28025,9410,2020
27265,9407,2017
28540,9406,2019
27265,9399,2019
28273,9391,2019
28025,9390,2021
28025,9357,2018
27405,9335,2016
27405,9330,2017
27516,9326,2021
28546,9309,2016
27607,9300,2019
28540,9270,2020
28025,9263,2017
27265,9233,2018
28173,9230,2019
27607,9201,2016
27516,9193,2020
28213,9176,2016
27284,9162,2021
28110,9144,2021
28376,9142,2020
28376,9138,2019
27560,9127,2021
27526,9116,2021
27106,9113,2016
28376,9085,2018
27529,9076,2019
28806,9068,2020
28806,9060,2018
28025,9037,2016
27516,9029,2019
27284,9028,2019
28601,9027,2020
28025,9013,2019
27560,9008,2020
27265,8988,2021
27284,8929,2017
27613,8888,2016
28376,8823,2017
28601,8822,2019
27516,8812,2016
28273,8807,2018
27284,8803,2020
27516,8791,2017
28173,8788,2021
28173,8753,2020
27284,8729,2016
28601,8705,2018
28806,8701,2016
28208,8698,2020
28376,8695,2016
27284,8686,2018
28173,8664,2018
28376,8659,2021
27516,8647,2018
28214,8643,2019
28208,8616,2019
27529,8606,2018
28214,8580,2018
28306,8579,2021
27613,8578,2017
27265,8577,2020
28806,8571,2017
27127,8521,2021
27513,8496,2020
27106,8484,2020
27513,8480,2021
27127,8469,2020
28601,8468,2016
28655,8455,2016
27529,8452,2016
27107,8447,2019
27704,8440,2021
28655,8439,2017
27106,8427,2021
28173,8424,2017
27612,8411,2020
28601,8402,2017
27127,8395,2018
28273,8393,2016
27526,8386,2019
28273,8375,2017
27612,8365,2019
28655,8355,2021
28655,8336,2020
27526,8335,2020
28306,8332,2020
28214,8327,2017
27529,8322,2017
28306,8320,2016
28208,8271,2018
27107,8248,2017
27612,8244,2016
27107,8243,2016
28655,8235,2019
28214,8230,2020
27107,8229,2018
28655,8226,2018
28214,8208,2016
27103,8198,2021
28214,8194,2021
27560,8183,2019
27704,8183,2019
28105,8178,2020
28173,8171,2016
27127,8168,2017
27612,8160,2021
27513,8149,2017
27612,8147,2018
27513,8145,2018
28105,8133,2019
27502,8130,2021
27127,8125,2019
27513,8117,2019
27526,8111,2018
28306,8095,2019
27107,8086,2021
28105,8073,2018
27704,8072,2020
28208,8071,2021
27127,8068,2016
27613,8062,2018
28306,8060,2017
28208,8046,2017
28306,7988,2018
27502,7950,2020
27520,7946,2020
27107,7924,2020
27615,7869,2021
27615,7852,2020
27612,7851,2017
27513,7847,2016
27704,7836,2017
27520,7834,2019
27704,7829,2018
27560,7813,2018
27613,7787,2019
28358,7726,2016
27520,7697,2021
27520,7690,2017
28412,7687,2017
27403,7661,2020
27526,7659,2017
27613,7659,2020
27103,7637,2020
28645,7627,2016
27360,7623,2016
28105,7602,2021
28208,7600,2016
28348,7593,2021
27103,7581,2016
27526,7577,2016
28105,7575,2016
28105,7572,2017
27360,7548,2021
27360,7541,2019
27520,7502,2016
27103,7495,2017
28079,7481,2020
27403,7477,2019
27613,7463,2021
27360,7459,2017
28645,7458,2017
28054,7452,2021
27520,7417,2018
27893,7402,2016
27103,7399,2018
28358,7396,2017
27893,7391,2018
28412,7390,2018
27704,7384,2016
27215,7374,2021
28412,7369,2016
28412,7364,2021
27401,7345,2020
27360,7342,2018
27893,7317,2017
27560,7311,2017
27615,7311,2019
27360,7300,2020
27103,7296,2019
28311,7283,2017
28311,7283,2018
28645,7279,2018
27893,7269,2019
27403,7268,2018
28311,7265,2020
28304,7252,2016
27540,7247,2019
28079,7241,2021
28412,7238,2019
28348,7221,2019
27893,7202,2021
27540,7197,2021
28311,7180,2016
27893,7152,2020
28348,7148,2020
27615,7111,2018
28348,7105,2017
28226,7101,2016
28304,7094,2017
28358,7081,2018
27215,7077,2020
27403,7054,2017
28311,7032,2019
27909,7007,2021
27615,6997,2017
28358,6996,2019
27615,6975,2016
27105,6968,2018
28226,6964,2018
27292,6962,2021
28348,6961,2018
27540,6954,2020
27401,6953,2021
28358,6941,2020
28411,6941,2019
28117,6939,2021
28625,6918,2018
28054,6917,2020
28304,6909,2018
28217,6907,2020
27909,6906,2016
28311,6905,2021
27105,6903,2016
27540,6903,2018
28625,6884,2020
28115,6882,2021
28348,6880,2016
27105,6877,2017
28054,6869,2016
27401,6863,2019
27909,6859,2017
28411,6834,2020
27502,6831,2019
27560,6831,2016
28645,6825,2019
27609,6822,2019
27330,6815,2016
28412,6809,2020
28217,6807,2017
28645,6798,2020
27330,6796,2021
27909,6788,2019
28625,6776,2019
28304,6774,2019
28645,6774,2021
27909,6759,2018
28217,6757,2016
27909,6754,2020
27217,6748,2020
27105,6740,2019
27609,6728,2020
28304,6727,2020
28092,6721,2021
28054,6701,2019
27215,6681,2019
28803,6680,2018
27530,6677,2016
28304,6670,2021
28092,6669,2018
28226,6669,2017
28217,6659,2018
28278,6659,2021
27217,6654,2021
27540,6653,2017
27609,6652,2021
27502,6651,2018
28625,6651,2017
27403,6645,2016
28079,6642,2018
27545,6630,2021
27330,6624,2017
27105,6618,2021
27609,6614,2017
27215,6599,2018
28092,6589,2019
27502,6585,2017
27330,6579,2019
28803,6577,2019
27530,6561,2018
28052,6553,2018
27105,6544,2020
28217,6542,2021
28054,6541,2018
28217,6541,2019
27609,6540,2018
28803,6540,2017
27502,6531,2016
28092,6524,2020
27217,6523,2016
27330,6482,2018
28226,6481,2019
27330,6476,2020
27609,6467,2016
28052,6455,2017
27530,6448,2019
28117,6439,2018
28079,6437,2017
28117,6429,2019
27217,6409,2019
27217,6407,2018
27217,6406,2017
27540,6396,2016
28625,6387,2016
27320,6384,2016
28411,6383,2018
28117,6375,2020
28079,6365,2019
27292,6360,2020
27215,6354,2016
28054,6347,2017
28226,6338,2020
28052,6334,2019
27530,6328,2017
28803,6328,2021
27530,6323,2021
27292,6312,2018
