ICD10,condition
O24410,GDM
O24414,GDM
O24415,GDM
O24419,GDM
O24420,GDM
O24424,GDM
O24425,GDM
O24429,GDM
O24430,GDM
O131,HDD
O132,HDD
O133,HDD
O134,HDD
O135,HDD
O139,HDD
O1400,HDD
O1402,HDD
O1403,HDD
O1404,HDD
O1410,HDD
O1412,HDD
O1413,HDD
O1414,HDD
O1420,HDD
O1422,HDD
O1423,HDD
O1424,HDD
O1490,HDD
O1492,HDD
O1493,HDD
O1494,HDD
O161,HDD
O162,HDD
O163,HDD
O164,HDD
O169,HDD
O99340,MDP
O99341,MDP
O99342,MDP
O99343,MDP
O99344,MDP
F320,PMAD
F330,PMAD
F341,PMAD
F418,PMAD
F4320,PMAD
F4321,PMAD
F4323,PMAD
F4325,PMAD
F4329,PMAD
F53,PMAD
F530,PMAD
F064,PMAD
F0631,PMAD
F0632,PMAD
F4000,PMAD
F4001,PMAD
F4002,PMAD
F4010,PMAD
F4011,PMAD
F40210,PMAD
F40218,PMAD
F40220,PMAD
F40228,PMAD
F40230,PMAD
F40231,PMAD
F40232,PMAD
F40233,PMAD
F40240,PMAD
F40241,PMAD
F40242,PMAD
F40243,PMAD
F40248,PMAD
F40290,PMAD
F40291,PMAD
F40298,PMAD
F408,PMAD
F409,PMAD
F410,PMAD
F411,PMAD
F413,PMAD
F418,PMAD
F419,PMAD
F42,PMAD
F422,PMAD
F423,PMAD
F424,PMAD
F428,PMAD
F429,PMAD
F430,PMAD
F4310,PMAD
F4311,PMAD
F4312,PMAD
F4320,PMAD
F4321,PMAD
F4322,PMAD
F4323,PMAD
F4324,PMAD
F4325,PMAD
F4329,PMAD
F438,PMAD
F4381,PMAD
F4389,PMAD
F439,PMAD
F440,PMAD
F441,PMAD
F442,PMAD
F444,PMAD
F445,PMAD
F446,PMAD
F447,PMAD
F4481,PMAD
F4489,PMAD
F449,PMAD
F450,PMAD
F451,PMAD
F4520,PMAD
F4521,PMAD
F4522,PMAD
F4529,PMAD
F4541,PMAD
F4542,PMAD
F458,PMAD
F459,PMAD
F481,PMAD
F482,PMAD
F488,PMAD
F489,PMAD
F6810,PMAD
F938,PMAD
F950,PMAD
F99,PMAD
F200,SMI
F201,SMI
F202,SMI
F205,SMI
F2081,SMI
F2089,SMI
F209,SMI
F22,SMI
F23,SMI
F24,SMI
F250,SMI
F258,SMI
F259,SMI
F28,SMI
F29,SMI
F531,SMI
F3010,SMI
F3011,SMI
F3012,SMI
F3013,SMI
F302,SMI
F303,SMI
F304,SMI
F308,SMI
F309,SMI
F310,SMI
F3289,SMI
F3481,SMI
F39,SMI
F060,SMI
F062,SMI
F2089,SMI
O6010X0,PTB
O6010X1,PTB
O6010X2,PTB
O6010X3,PTB
O6010X4,PTB
O6010X5,PTB
O6010X9,PTB
O6012X0,PTB
O6012X1,PTB
O6012X2,PTB
O6012X3,PTB
O6012X4,PTB
O6012X5,PTB
O6012X9,PTB
O6013X0,PTB
O6013X1,PTB
O6013X2,PTB
O6013X3,PTB
O6013X4,PTB
O6013X5,PTB
O6013X9,PTB
O6014X0,PTB
O6014X1,PTB
O6014X2,PTB
O6014X3,PTB
O6014X4,PTB
O6014X5,PTB
O6014X9,PTB
Z3A20,PTB
Z3A21,PTB
Z3A22,PTB
Z3A23,PTB
Z3A24,PTB
Z3A25,PTB
Z3A26,PTB
Z3A27,PTB
Z3A28,PTB
Z3A29,PTB
Z3A30,PTB
Z3A31,PTB
Z3A32,PTB
Z3A33,PTB
Z3A34,PTB
Z3A35,PTB
Z3A36,PTB
F1010,SUB
F1011,SUB
F10120,SUB
F10121,SUB
F10129,SUB
F10130,SUB
F10131,SUB
F10132,SUB
F10139,SUB
F1014,SUB
F10150,SUB
F10151,SUB
F10159,SUB
F10180,SUB
F10181,SUB
F10182,SUB
F10188,SUB
F1019,SUB
F1020,SUB
F1021,SUB
F10220,SUB
F10221,SUB
F10229,SUB
F10230,SUB
F10231,SUB
F10232,SUB
F10239,SUB
F1024,SUB
F10250,SUB
F10251,SUB
F10259,SUB
F1026,SUB
F1027,SUB
F10280,SUB
F10281,SUB
F10282,SUB
F10288,SUB
F1029,SUB
F1090,SUB
F1091,SUB
F10920,SUB
F10921,SUB
F10929,SUB
F10930,SUB
F10931,SUB
F10932,SUB
F10939,SUB
F1094,SUB
F10950,SUB
F10951,SUB
F10959,SUB
F1096,SUB
F1097,SUB
F10980,SUB
F10981,SUB
F10982,SUB
F10988,SUB
F1099,SUB
F1110,SUB
F1111,SUB
F11120,SUB
F11121,SUB
F11122,SUB
F11129,SUB
F1113,SUB
F1114,SUB
F11150,SUB
F11151,SUB
F11159,SUB
F11181,SUB
F11182,SUB
F11188,SUB
F1119,SUB
F1120,SUB
F1121,SUB
F11220,SUB
F11221,SUB
F11222,SUB
F11229,SUB
F1123,SUB
F1124,SUB
F11250,SUB
F11251,SUB
F11259,SUB
F11281,SUB
F11282,SUB
F11288,SUB
F1129,SUB
F1190,SUB
F1191,SUB
F11920,SUB
F11921,SUB
F11922,SUB
F11929,SUB
F1193,SUB
F1194,SUB
F11950,SUB
F11951,SUB
F11959,SUB
F11981,SUB
F11982,SUB
F11988,SUB
F1199,SUB
F1210,SUB
F1211,SUB
F12120,SUB
F12121,SUB
F12122,SUB
F12129,SUB
F1213,SUB
F12150,SUB
F12151,SUB
F12159,SUB
F12180,SUB
F12188,SUB
F1219,SUB
F1220,SUB
F1221,SUB
F12220,SUB
F12221,SUB
F12222,SUB
F12229,SUB
F1223,SUB
F12250,SUB
F12251,SUB
F12259,SUB
F12280,SUB
